objectid,image_id,title,creator,date,date_full,description,subject,attendees,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
council_001,img_2516,10 August 1540,,1540-08-10,1540-08-10,"Privy Council Register, 1540-1543",,"Thomas Cranmer, Archbishop of Canterbury; Thomas Audley, Baron Audley of Walden; Thomas Howard, Duke of Norfolk; Charles Brandon, Duke of Suffolk; William FitzWilliam, 1st Earl of Southampton; Robert Radcliffe, Earl of Sussex; Edward Seymour, Duke of Somerset, Lord Protector; John Russell, Earl of Bedford; Bishop Tunstall; Stephen Gardiner, Bishop of Winchester; Sir William Lord Sands; Sir Thomas Cheyne; Sir William Kingston; Sir Anthony Browne; Sir Anthony Wingfield; Thomas Wriothesley, Earl of Southampton; Sir Ralph Sadler; Richard Rich, Baron Rich; John Baker",,,,"The National Archives, England, PC 2/1 f.1",,Text,,,,,transcriptions,/objects/img_2516.jpg,/objects/small/img_2516_sm.jpg,/objects/thumbs/img_2516_th.jpg,,/objects/img_2516.md
council_002,img_2517,17 August 1540,,1540-08-17,1540-08-17,"Privy Council Register, 1540-1543",,"William FitzWilliam, 1st Earl of Southampton; Robert Radcliffe, Earl of Sussex; Edward Seymour, Duke of Somerset, Lord Protector; Bishop Tunstall; Stephen Gardiner, Bishop of Winchester; Sir William Kingston; Sir Anthony Wingfield; Thomas Wriothesley, Earl of Southampton; John Baker",Windsor,51.48428151,-0.604467073,"The National Archives, England, PC 2/1 f.2",,Text,,,,,transcriptions,/objects/img_2517.jpg,/objects/small/img_2517_sm.jpg,/objects/thumbs/img_2517_th.jpg,,/objects/html/0.html
council_003,img_2518,17 August 1540 - 18 August 1540,,1540-08-17,1540-08-17 ; 1540-08-18,"Privy Council Register, 1540-1543",,"William FitzWilliam, 1st Earl of Southampton; Robert Radcliffe, Earl of Sussex; Edward Seymour, Duke of Somerset, Lord Protector; Bishop Tunstall; Stephen Gardiner, Bishop of Winchester; Sir Anthony Wingfield; Thomas Wriothesley, Earl of Southampton; William FitzWilliam, 1st Earl of Southampton; Robert Radcliffe, Earl of Sussex; Edward Seymour, Duke of Somerset, Lord Protector; Bishop Tunstall; Stephen Gardiner, Bishop of Winchester; Thomas Wriothesley, Earl of Southampton; Sir Anthony Wingfield; William FitzWilliam, 1st Earl of Southampton; Robert Radcliffe, Earl of Sussex; Bishop Tunstall; Stephen Gardiner, Bishop of Winchester; Sir Anthony Browne; Sir Anthony Wingfield; Thomas Wriothesley, Earl of Southampton",Windsor,51.48428151,-0.604467073,"The National Archives, England, PC 2/1 f.3",,Text,,,,,transcriptions,/objects/img_2518.jpg,/objects/small/img_2518_sm.jpg,/objects/thumbs/img_2518_th.jpg,,/objects/html/1.html
council_004,img_2519,18 August 1540 - 21 August 1540 - 22 August 1540,,1540-08-18,1540-08-18 ; 1540-08-21 ; 1540-08-22,"Privy Council Register, 1540-1543",,"William FitzWilliam, 1st Earl of Southampton; Robert Radcliffe, Earl of Sussex; Bishop Tunstall; Stephen Gardiner, Bishop of Winchester; Sir Anthony Browne; Sir Anthony Wingfield; Thomas Wriothesley, Earl of Southampton; Robert Radcliffe, Earl of Sussex; Bishop Tunstall; Stephen Gardiner, Bishop of Winchester; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; Bishop Tunstall; Stephen Gardiner, Bishop of Winchester; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Windsor; Reading,51.4565018,-0.9651917632,"The National Archives, England, PC 2/1 f.4",,Text,,,,,transcriptions,/objects/img_2519.jpg,/objects/small/img_2519_sm.jpg,/objects/thumbs/img_2519_th.jpg,,/objects/html/2.html
council_005,img_2520,22 August 1540,,1540-08-22,1540-08-22,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; Bishop Tunstall; Stephen Gardiner, Bishop of Winchester; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Reading,51.4565018,-0.9651917632,"The National Archives, England, PC 2/1 f.5",,Text,,,,,transcriptions,/objects/img_2520.jpg,/objects/small/img_2520_sm.jpg,/objects/thumbs/img_2520_th.jpg,,
council_006,img_2521,22 August 1540 - 23 August 1540,,1540-08-22,1540-08-22 ; 1540-08-23,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; Bishop Tunstall; Stephen Gardiner, Bishop of Winchester; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Reading,51.4565018,-0.9651917632,"The National Archives, England, PC 2/1 f.6",,Text,,,,,transcriptions,/objects/img_2521.jpg,/objects/small/img_2521_sm.jpg,/objects/thumbs/img_2521_th.jpg,,
council_007,img_2522,25 August 1540,,1540-08-25,1540-08-25,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Ewelme,51.60347515,-1.122688147,"The National Archives, England, PC 2/1 f.7",,Text,,,,,transcriptions,/objects/img_2522.jpg,/objects/small/img_2522_sm.jpg,/objects/thumbs/img_2522_th.jpg,,
council_008,img_2523,26 August 1540 - 27 August 1540,,1540-08-26,1540-08-26 ; 1540-08-27,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich; Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Ewelme; Notley,51.60347515,-1.122688147,"The National Archives, England, PC 2/1 f.8",,Text,,,,,transcriptions,/objects/img_2523.jpg,/objects/small/img_2523_sm.jpg,/objects/thumbs/img_2523_th.jpg,,
council_009,img_2524,27 August 1540,,1540-08-27,1540-08-27,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Notley,51.77736246,-0.9641202038,"The National Archives, England, PC 2/1 f.9",,Text,,,,,transcriptions,/objects/img_2524.jpg,/objects/small/img_2524_sm.jpg,/objects/thumbs/img_2524_th.jpg,,
council_010,img_2525,28 August 1540,,1540-08-28,1540-08-28,"Privy Council Register, 1540-1543",,"Robert Radcliffe, Earl of Sussex; John Russell, Earl of Bedford; Bishop Tunstall; Sir Thomas Cheyne; Sir Anthony Browne; Thomas Wriothesley, Earl of Southampton; Richard Rich, Baron Rich",Buckingham,51.99921953,-0.987861065,"The National Archives, England, PC 2/1 f.10",,Text,,,,,transcriptions,/objects/img_2525.jpg,/objects/small/img_2525_sm.jpg,/objects/thumbs/img_2525_th.jpg,,
